Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides AGO2-APEX bR01,Peptides AGO2-BirA bR01,Peptides AGO2-BirA bR02,Peptides ctrl APEX bR01,Peptides ctrl BirA bR01,Peptides ctrl BirA bR02,Razor + unique peptides AGO2-APEX bR01,Razor + unique peptides AGO2-BirA bR01,Razor + unique peptides AGO2-BirA bR02,Razor + unique peptides ctrl APEX bR01,Razor + unique peptides ctrl BirA bR01,Razor + unique peptides ctrl BirA bR02,Unique peptides AGO2-APEX bR01,Unique peptides AGO2-BirA bR01,Unique peptides AGO2-BirA bR02,Unique peptides ctrl APEX bR01,Unique peptides ctrl BirA bR01,Unique peptides ctrl BirA bR02,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Identification type AGO2-APEX bR01,Identification type AGO2-BirA bR01,Identification type AGO2-BirA bR02,Identification type ctrl APEX bR01,Identification type ctrl BirA bR01,Identification type ctrl BirA bR02,Sequence coverage AGO2-APEX bR01 [%],Sequence coverage AGO2-BirA bR01 [%],Sequence coverage AGO2-BirA bR02 [%],Sequence coverage ctrl APEX bR01 [%],Sequence coverage ctrl BirA bR01 [%],Sequence coverage ctrl BirA bR02 [%],Intensity,Intensity AGO2-APEX bR01,Intensity AGO2-BirA bR01,Intensity AGO2-BirA bR02,Intensity ctrl APEX bR01,Intensity ctrl BirA bR01,Intensity ctrl BirA bR02,LFQ intensity AGO2-APEX bR01,LFQ intensity AGO2-BirA bR01,LFQ intensity AGO2-BirA bR02,LFQ intensity ctrl APEX bR01,LFQ intensity ctrl BirA bR01,LFQ intensity ctrl BirA bR02,MS/MS Count AGO2-APEX bR01,MS/MS Count AGO2-BirA bR01,MS/MS Count AGO2-BirA bR02,MS/MS Count ctrl APEX bR01,MS/MS Count ctrl BirA bR01,MS/MS Count ctrl BirA bR02,MS/MS Count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions
Q99816-2;F5H442;Q99816,Q99816-2;F5H442;Q99816,2;2;2,2;2;2,2;2;2,Tumor susceptibility gene 101 protein,TSG101,>sp|Q99816-2|TS101_HUMAN Isoform 2 of Tumor susceptibility gene 101 protein OS=Homo sapiens GN=TSG101;>tr|F5H442|F5H442_HUMAN Tumor susceptibility gene 101 protein OS=Homo sapiens GN=TSG101 PE=1 SV=1;>sp|Q99816|TS101_HUMAN Tumor susceptibility gene 101 pro,3,2,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,7.4,7.4,7.4,31.732,285,285;365;390,0,By matching,By matching,By matching,By MS/MS,By matching,By matching,0,0,0,7.4,0,0,9289400,0,0,0,9289400,0,0,0,0,0,4261300,0,0,0,0,0,2,0,0,2,,,,357,783;920,True;True,826;969,2780;3232,2024;2360,2024;2360,,
H0Y555;F5H4Z3;Q5QPM7;Q92530,H0Y555;F5H4Z3;Q5QPM7;Q92530,1;1;1;1,1;1;1;1,1;1;1;1,Proteasome inhibitor PI31 subunit,PSMF1,>tr|H0Y555|H0Y555_HUMAN Proteasome inhibitor PI31 subunit (Fragment) OS=Homo sapiens GN=PSMF1 PE=1 SV=1;>tr|F5H4Z3|F5H4Z3_HUMAN Proteasome inhibitor PI31 subunit (Fragment) OS=Homo sapiens GN=PSMF1 PE=1 SV=2;>tr|Q5QPM7|Q5QPM7_HUMAN Proteasome inhibitor PI3,4,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,21.5,21.5,21.5,11.487,107,107;127;263;271,0,By MS/MS,By matching,By matching,By MS/MS,By matching,By matching,21.5,0,0,21.5,0,0,9147000,2773700,0,0,6373300,0,0,0,0,0,2923600,0,0,1,0,0,1,0,0,2,,,,358,535,TRUE,554,1785;1786,1289;1290,1290,,
Q9BQE3;F5H5D3;F8VVB9,Q9BQE3;F5H5D3,29;29;12,2;2;0,2;2;0,Tubulin alpha-1C chain,TUBA1C,>sp|Q9BQE3|TBA1C_HUMAN Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1;>tr|F5H5D3|F5H5D3_HUMAN Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1,3,29,2,2,18,15,10,29,17,8,0,1,0,2,1,0,0,1,0,2,1,0,58.8,9.1,9.1,49.895,449,449;519;247,0,By matching,By MS/MS,By matching,By MS/MS,By MS/MS,By matching,38.8,37.6,26.3,58.8,39.9,26.1,30056000,0,2415600,0,21462000,6178200,0,0,0,0,6804300,0,0,0,1,0,3,1,0,5,,,,359,279;879;894;895;958;1210;1211;1212;1280;1558;1873;1986;2298;2299;2608;3469;3470;3691;4576;4822;5020;6101;6102;6129;6139;6668;6669;7291;7292,False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False,288;925;941;942;1009;1010;1286;1287;1288;1362;1659;1987;2103;2432;2433;2763;3676;3677;3678;3679;3912;4942;5203;5409;6538;6539;6567;6577;7133;7134;7784;7785;7786;7787,892;3072;3128;3129;3130;3131;3132;3133;3134;3135;3136;3137;3138;3139;3140;3404;3405;3406;3407;4221;4222;4223;4224;4225;4226;4227;4228;4229;4230;4231;4232;4233;4234;4235;4236;4237;4238;4239;4240;4241;4485;5403;5404;6482;6483;6484;6485;6486;6487;6488;6489;6887;7953;7954;7955;7956;7957;7958;8995;8996;8997;8998;8999;9000;9001;9002;9003;9004;12198;12199;12200;12201;12202;12203;12204;12205;12206;12207;12208;12209;12210;12211;12212;12213;12214;12215;12216;13035;13036;13037;13038;13039;13040;16331;16332;16333;16334;16335;16336;16337;16338;17209;17210;17211;17212;17213;17214;17215;17851;17852;17853;17854;17855;17856;17857;21606;21607;21608;21609;21610;21611;21612;21613;21614;21732;21733;21734;21735;21736;21737;21738;21739;21740;21741;21767;23671;23672;23673;23674;23675;23676;23677;23678;23679;23680;23681;23682;25942;25943;25944;25945;25946;25947;25948,661;2230;2280;2281;2282;2283;2284;2285;2286;2287;2288;2289;2290;2463;2464;2465;2466;3036;3037;3038;3039;3040;3041;3042;3043;3044;3045;3046;3047;3048;3049;3050;3051;3052;3053;3054;3055;3056;3057;3058;3059;3254;3858;4690;4691;4974;5682;5683;5684;5685;5686;5687;5688;6423;6424;6425;6426;6427;6428;6429;6430;8726;8727;8728;8729;8730;8731;8732;8733;8734;8735;8736;8737;8738;8739;8740;8741;8742;8743;8744;8745;8746;8747;8748;8749;8750;9285;9286;11654;11655;11656;11657;11658;11659;12334;12335;12336;12337;12338;12339;12777;12778;12779;12780;12781;12782;12783;15559;15560;15561;15562;15563;15564;15565;15662;15663;15664;15665;15666;15667;15668;15669;15670;15681;17203;17204;17205;17206;17207;17208;17209;18812;18813;18814;18815;18816;18817,661;2230;2285;2289;2466;3036;3042;3055;3254;3858;4690;4974;5682;5685;6430;8737;8743;9285;11658;12339;12781;15559;15565;15670;15681;17205;17209;18814;18817,143;144;145,302;313;398
F5H669;Q8N684-2;Q8N684;Q8N684-3;J3QT54;F5H6M0;F5H047,F5H669;Q8N684-2;Q8N684;Q8N684-3,5;5;5;5;1;1;1,5;5;5;5;1;1;1,5;5;5;5;1;1;1,Cleavage and polyadenylation specificity factor subunit 7,CPSF7,>tr|F5H669|F5H669_HUMAN Cleavage and polyadenylation-specificity factor subunit 7 (Fragment) OS=Homo sapiens GN=CPSF7 PE=1 SV=1;>sp|Q8N684-2|CPSF7_HUMAN Isoform 2 of Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens GN=CPSF7;>sp|Q8N,7,5,5,5,3,1,3,2,4,4,3,1,3,2,4,4,3,1,3,2,4,4,21.1,21.1,21.1,41.265,374,374;462;471;514;205;219;288,0,By matching,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,12.8,4.3,12.8,7.5,15.2,18.7,94451000,22197000,603890,9234600,8343400,34096000,19976000,18877000,0,13423000,6597300,9695500,23658000,0,0,1,2,4,2,9,,,,360,432;1166;1174;5961;6832,True;True;True;True;True,446;1240;1241;1249;6392;7304,1428;4067;4068;4069;4070;4071;4072;4085;21178;21179;21180;21181;21182;24259;24260;24261;24262;24263;24264;24265;24266,1038;2928;2929;2930;2938;15255;15256;15257;15258;17607;17608,1038;2928;2938;15255;17607,146,265
H0YKH0;H0YLW9;H0YLI3;F5H7D6;H0YNT2;Q04726-2;Q04726-7;Q04726-3;Q04726-6;Q04726-5;Q04726-4;Q04726;H0YKT5;H0YKN8;H0YL70,H0YKH0;H0YLW9;H0YLI3;F5H7D6;H0YNT2;Q04726-2;Q04726-7;Q04726-3;Q04726-6;Q04726-5;Q04726-4;Q04726;H0YKT5;H0YKN8;H0YL70,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,Transducin-like enhancer protein 3,TLE3,>tr|H0YKH0|H0YKH0_HUMAN Transducin-like enhancer protein 3 OS=Homo sapiens GN=TLE3 PE=1 SV=1;>tr|H0YLW9|H0YLW9_HUMAN Transducin-like enhancer protein 3 OS=Homo sapiens GN=TLE3 PE=1 SV=1;>tr|H0YLI3|H0YLI3_HUMAN Transducin-like enhancer protein 3 (Fragment) ,15,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,3.4,3.4,3.4,47.761,445,445;448;611;699;716;760;762;764;767;769;772;772;774;778;782,0,By matching,By matching,By matching,By MS/MS,By matching,By matching,0,0,0,3.4,0,3.4,2712400,0,0,0,1966100,0,746320,0,0,0,0,0,1219600,0,0,0,1,0,0,1,,,,361,4466,TRUE,4824,15990;15991,11409,11409,,
H0YF83;G5EA44;Q96C57;F5H7W8,H0YF83;G5EA44;Q96C57;F5H7W8,1;1;1;1,1;1;1;1,1;1;1;1,Uncharacterized protein C12orf43,C12orf43,">tr|H0YF83|H0YF83_HUMAN Uncharacterized protein C12orf43 OS=Homo sapiens GN=C12orf43 PE=1 SV=2;>tr|G5EA44|G5EA44_HUMAN Chromosome 12 open reading frame 43, isoform CRA_b OS=Homo sapiens GN=C12orf43 PE=1 SV=1;>sp|Q96C57|CL043_HUMAN Uncharacterized protein C",4,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,13.7,13.7,13.7,12.539,117,117;252;262;263,0,By matching,By matching,By matching,By MS/MS,By MS/MS,By matching,0,0,0,13.7,13.7,0,1996400,0,0,0,0,1996400,0,0,0,0,0,1105600,0,0,0,0,1,1,0,2,,,,362,285,TRUE,295,926;927,682;683,682,,
F5H7Y0;Q96HC4-4;Q96HC4;Q96HC4-6;H0Y8Y3;A0A0A0MSP3;Q96HC4-7;H0YBI4;Q96HC4-3;Q96HC4-2,F5H7Y0;Q96HC4-4;Q96HC4;Q96HC4-6;H0Y8Y3;A0A0A0MSP3;Q96HC4-7,3;3;3;3;2;2;2;1;1;1,3;3;3;3;2;2;2;1;1;1,3;3;3;3;2;2;2;1;1;1,PDZ and LIM domain protein 5,PDLIM5,>tr|F5H7Y0|F5H7Y0_HUMAN PDZ and LIM domain protein 5 OS=Homo sapiens GN=PDLIM5 PE=1 SV=1;>sp|Q96HC4-4|PDLI5_HUMAN Isoform 4 of PDZ and LIM domain protein 5 OS=Homo sapiens GN=PDLIM5;>sp|Q96HC4|PDLI5_HUMAN PDZ and LIM domain protein 5 OS=Homo sapiens GN=PDL,10,3,3,3,1,1,2,3,0,1,1,1,2,3,0,1,1,1,2,3,0,1,5.7,5.7,5.7,51.224,474,474;487;596;625;231;271;483;196;214;234,0,By matching,By matching,By MS/MS,By MS/MS,By matching,By matching,1.9,2.3,3.4,5.7,0,1.9,28155000,10213000,1063700,5169600,7677300,0,4031500,0,0,3885400,3572500,0,0,0,0,1,2,0,0,3,,,,363,2112;2264;3659,True;True;True,2236;2397;3878,7337;7338;7339;7340;7843;7844;12895;12896,5260;5588;9197,5260;5588;9197,,
I3NI03;I3L3U6;F5H8J2;H7BZ94;P07237,I3NI03;I3L3U6;F5H8J2;H7BZ94;P07237,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,Protein disulfide-isomerase,P4HB,>tr|I3NI03|I3NI03_HUMAN Protein disulfide-isomerase (Fragment) OS=Homo sapiens GN=P4HB PE=1 SV=1;>tr|I3L3U6|I3L3U6_HUMAN Protein disulfide-isomerase (Fragment) OS=Homo sapiens GN=P4HB PE=1 SV=1;>tr|F5H8J2|F5H8J2_HUMAN Uncharacterized protein OS=Homo sapien,5,2,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,11.4,11.4,11.4,18.513,166,166;188;451;464;508,0,By matching,By MS/MS,By matching,By matching,By matching,By matching,0,11.4,0,0,0,0,2339000,0,2339000,0,0,0,0,0,2339000,0,0,0,0,0,2,0,0,0,0,2,,,,364,3399;6548,True;True,3604;7003,11988;23219,8580;16857,8580;16857,,
H3BTB3;H3BMQ5;H3BN59;I3L0H8;Q9UMR2-2;Q9UMR2-4;Q9NUU7;Q9UMR2;F6QDS0;H3BQK0,H3BTB3;H3BMQ5;H3BN59;I3L0H8;Q9UMR2-2;Q9UMR2-4;Q9NUU7;Q9UMR2;F6QDS0;H3BQK0,1;1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1;1,ATP-dependent RNA helicase DDX19B;ATP-dependent RNA helicase DDX19A,DDX19A;DDX19B,>tr|H3BTB3|H3BTB3_HUMAN ATP-dependent RNA helicase DDX19A OS=Homo sapiens GN=DDX19A PE=1 SV=1;>tr|H3BMQ5|H3BMQ5_HUMAN ATP-dependent RNA helicase DDX19B (Fragment) OS=Homo sapiens GN=DDX19B PE=4 SV=1;>tr|H3BN59|H3BN59_HUMAN Uncharacterized protein (Fragment,10,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,19.4,19.4,19.4,14.479,129,129;233;261;447;448;453;478;479;479;484,0,By matching,By matching,By MS/MS,By MS/MS,By matching,By matching,0,0,19.4,19.4,0,0,11048000,0,0,6384000,4664100,0,0,0,0,0,2139500,0,0,0,0,1,1,0,0,2,,,,365,5622,TRUE,6044,20061;20062,14431;14432,14431,,
Q9HC38-2;F6TLX2;I3L1F4;Q9HC38-3;I3L3Q4;Q9HC38;I3NI27;I3NI24;I3L2C2;I3L277;I3L1I0,Q9HC38-2;F6TLX2;I3L1F4;Q9HC38-3;I3L3Q4;Q9HC38,3;3;2;2;2;2;1;1;1;1;1,3;3;2;2;2;2;1;1;1;1;1,3;3;2;2;2;2;1;1;1;1;1,Glyoxalase domain-containing protein 4,GLOD4,>sp|Q9HC38-2|GLOD4_HUMAN Isoform 2 of Glyoxalase domain-containing protein 4 OS=Homo sapiens GN=GLOD4;>tr|F6TLX2|F6TLX2_HUMAN Glyoxalase domain-containing protein 4 OS=Homo sapiens GN=GLOD4 PE=1 SV=1;>tr|I3L1F4|I3L1F4_HUMAN Glyoxalase domain-containing pro,11,3,3,3,3,2,3,2,2,2,3,2,3,2,2,2,3,2,3,2,2,2,11.4,11.4,11.4,33.232,298,298;502;59;188;227;313;36;36;52;76;115,0,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,By matching,11.4,8.4,11.4,7.4,8.4,7,17858000,2620600,1424500,3666100,5571900,3805100,770280,1343100,1823600,1723400,0,3665900,0,1,0,1,1,2,0,5,,,,366,2761;6678;6863,True;True;True,2927;7143;7336,9639;9640;9641;9642;9643;23718;23719;23720;23721;24372;24373;24374;24375;24376,6889;17229;17230;17231;17693,6889;17231;17693,,
P43487-2;P43487;F6WQW2;C9JXG8;C9JGV6;C9JJ34;C9JDM3;C9JIC6,P43487-2;P43487;F6WQW2;C9JXG8;C9JGV6;C9JJ34;C9JDM3,6;6;6;5;5;4;3;2,6;6;6;5;5;4;3;2,6;6;6;5;5;4;3;2,Ran-specific GTPase-activating protein,RANBP1,>sp|P43487-2|RANG_HUMAN Isoform 2 of Ran-specific GTPase-activating protein OS=Homo sapiens GN=RANBP1;>sp|P43487|RANG_HUMAN Ran-specific GTPase-activating protein OS=Homo sapiens GN=RANBP1 PE=1 SV=1;>tr|F6WQW2|F6WQW2_HUMAN Ran-specific GTPase-activating pr,8,6,6,6,3,5,4,3,2,2,3,5,4,3,2,2,3,5,4,3,2,2,31.5,31.5,31.5,23.239,200,200;201;278;145;205;163;166;53,0,By matching,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,15.5,27,15.5,15.5,16,5.5,80469000,10083000,19076000,32586000,11483000,3868900,3371600,9187400,18093000,18068000,7843100,5367900,6839100,0,5,1,1,0,1,8,,,,367,1541;1674;1675;2197;2475;6171,True;True;True;True;True;True,1642;1781;1782;2325;2626;6610,5340;5810;5811;5812;5813;5814;5815;5816;5817;5818;5819;5820;7626;7627;7628;8564;8565;21882;21883;21884;21885;21886,3827;4156;4157;4158;4159;5443;6138;15757,3827;4156;4159;5443;6138;15757,147;148,107;108
F8VNY3;P45973,F8VNY3;P45973,1;1,1;1,1;1,Chromobox protein homolog 5,CBX5,>tr|F8VNY3|F8VNY3_HUMAN Chromobox protein homolog 5 (Fragment) OS=Homo sapiens GN=CBX5 PE=1 SV=1;>sp|P45973|CBX5_HUMAN Chromobox protein homolog 5 OS=Homo sapiens GN=CBX5 PE=1 SV=1,2,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,12.1,12.1,12.1,10.857,91,91;191,0,By MS/MS,By matching,By matching,By matching,By MS/MS,By matching,12.1,0,0,0,12.1,0,5989000,4295100,0,0,0,1693800,0,0,0,0,0,938040,0,1,0,0,0,1,0,2,,,,368,7077,TRUE,7561,25184;25185,18289;18290,18290,,
F8VPD4;P27708;H7C2E4;H7BZB3,F8VPD4;P27708,22;22;4;2,22;22;4;2,22;22;4;2,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,CAD,>tr|F8VPD4|F8VPD4_HUMAN CAD protein OS=Homo sapiens GN=CAD PE=1 SV=1;>sp|P27708|PYR1_HUMAN CAD protein OS=Homo sapiens GN=CAD PE=1 SV=3,4,22,22,22,11,3,5,22,7,2,11,3,5,22,7,2,11,3,5,22,7,2,13.1,13.1,13.1,236.02,2162,2162;2225;293;280,0,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,By matching,7.1,2.2,3.2,13.1,4.9,1.2,351700000,36635000,9014000,4958900,280830000,17315000,2942600,29610000,4940300,4581500,127140000,7274800,5468900,7,0,1,26,3,0,37,,,,369,1416;1611;2081;2718;3291;3405;3615;3753;4014;4188;4193;4434;5264;5890;6628;6813;6814;6815;6816;6817;6908;7209,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1507;1714;2203;2882;3491;3610;3832;3974;4248;4434;4435;4441;4789;5664;6317;6318;7089;7285;7286;7287;7288;7289;7386;7698,4902;4903;5583;7227;9497;9498;9499;11581;11582;12006;12756;12757;12758;13266;13267;14125;14699;14700;14701;14702;14703;14712;14713;14714;15807;18685;20942;20943;20944;20945;20946;23514;23515;23516;23517;24174;24175;24176;24177;24178;24179;24180;24181;24182;24183;24184;24185;24186;24187;24188;24564;24565;25628;25629;25630,3534;3535;3984;5181;6795;6796;8256;8257;8594;9105;9437;9987;10388;10389;10390;10391;10392;10399;11251;13409;15090;15091;17082;17083;17084;17085;17086;17548;17549;17550;17551;17552;17553;17835;17836;18590;18591,3535;3984;5181;6795;8257;8594;9105;9437;9987;10392;10399;11251;13409;15090;17086;17548;17550;17551;17552;17553;17835;18591,149;150,522;703
F8VS07;Q9UHB6-3;F8VQE1;Q9UHB6-2;Q9UHB6-5;Q9UHB6;Q9UHB6-4,F8VS07;Q9UHB6-3;F8VQE1;Q9UHB6-2;Q9UHB6-5;Q9UHB6;Q9UHB6-4,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,LIM domain and actin-binding protein 1,LIMA1,>tr|F8VS07|F8VS07_HUMAN LIM domain and actin-binding protein 1 OS=Homo sapiens GN=LIMA1 PE=1 SV=1;>sp|Q9UHB6-3|LIMA1_HUMAN Isoform 3 of LIM domain and actin-binding protein 1 OS=Homo sapiens GN=LIMA1;>tr|F8VQE1|F8VQE1_HUMAN LIM domain and actin-binding pro,7,2,2,2,0,2,2,2,1,0,0,2,2,2,1,0,0,2,2,2,1,0,7.2,7.2,7.2,51.09,456,456;457;598;599;600;759;760,0,By matching,By MS/MS,By matching,By MS/MS,By MS/MS,By matching,0,7.2,7.2,7.2,3.1,0,23842000,0,5345700,7942100,8499400,2054400,0,0,4920700,0,4323900,0,0,0,1,0,1,1,0,3,,,,370,3740;5706,True;True,3961;6131,13224;13225;13226;13227;20327;20328;20329,9403;9404;14623,9403;14623,,
F8VRK6;H0YH87;Q99700-2;Q99700-5;F8WB06;F8VQP2;V9GY86;Q99700-4;Q99700,F8VRK6;H0YH87;Q99700-2;Q99700-5;F8WB06;F8VQP2;V9GY86;Q99700-4;Q99700,3;3;3;3;3;3;3;3;3,3;3;3;3;3;3;3;3;3,3;3;3;3;3;3;3;3;3,Ataxin-2,ATXN2,>tr|F8VRK6|F8VRK6_HUMAN Ataxin-2 (Fragment) OS=Homo sapiens GN=ATXN2 PE=1 SV=2;>tr|H0YH87|H0YH87_HUMAN Ataxin-2 (Fragment) OS=Homo sapiens GN=ATXN2 PE=1 SV=1;>sp|Q99700-2|ATX2_HUMAN Isoform 2 of Ataxin-2 OS=Homo sapiens GN=ATXN2;>sp|Q99700-5|ATX2_HUMAN Iso,9,3,3,3,0,3,2,2,1,0,0,3,2,2,1,0,0,3,2,2,1,0,22.6,22.6,22.6,25.73,235,235;916;995;1006;1050;1073;1153;1243;1313,0,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By matching,0,22.6,15.3,15.3,7.2,0,29731000,0,7071300,11392000,10203000,1064200,0,0,5317300,9785600,5323100,0,0,0,4,2,3,1,0,10,,,,371,640;5856;6485,True;True;True,678;6282;6940,2247;20834;20835;20836;20837;22966;22967;22968;22969;22970,1638;15008;15009;15010;15011;16643;16644;16645;16646;16647,1638;15009;16646,,
F8VQY6;F8VRK7;G3V210;F8VU65;P05388-2;F8VWS0;Q8NHW5;P05388;F8VS58;F8VPE8;F8VW21;F8VZS0;F8VWV4,F8VQY6;F8VRK7;G3V210;F8VU65;P05388-2;F8VWS0;Q8NHW5;P05388;F8VS58;F8VPE8;F8VW21;F8VZS0,3;3;3;3;3;3;3;3;2;2;2;2;1,3;3;3;3;3;3;3;3;2;2;2;2;1,3;3;3;3;3;3;3;3;2;2;2;2;1,60S acidic ribosomal protein P0;60S acidic ribosomal protein P0-like,RPLP0;RPLP0P6,>tr|F8VQY6|F8VQY6_HUMAN 60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1;>tr|F8VRK7|F8VRK7_HUMAN 60S acidic ribosomal protein P0 OS=Homo sapiens GN=RPLP0 PE=1 SV=1;>tr|G3V210|G3V210_HUMAN 60S acidic ribosomal protein P0 OS=Homo sapiens GN,13,3,3,3,2,3,2,1,0,2,2,3,2,1,0,2,2,3,2,1,0,2,30.3,30.3,30.3,15.813,142,142;156;166;247;255;281;317;317;121;153;244;246;111,0,By matching,By MS/MS,By matching,By matching,By matching,By matching,14.8,30.3,14.8,7.7,0,14.8,17217000,2223100,9871200,3257700,400190,0,1464900,1441700,11874000,1716800,0,0,1606500,0,3,0,0,0,0,3,,,,372,288;1977;2655,True;True;True,299;2093;2818,933;6838;6839;6840;6841;6842;9207;9208;9209;9210,687;4942;6586,687;4942;6586,,
F8VRV7;F8VW18;F8W1I6;Q13561;Q13561-3;Q13561-2;F8W0U6;H0YHL1;F8VX93;H0YI98,F8VRV7;F8VW18;F8W1I6;Q13561;Q13561-3;Q13561-2,3;3;3;3;3;3;1;1;1;1,3;3;3;3;3;3;1;1;1;1,3;3;3;3;3;3;1;1;1;1,Dynactin subunit 2,DCTN2,>tr|F8VRV7|F8VRV7_HUMAN Dynactin subunit 2 (Fragment) OS=Homo sapiens GN=DCTN2 PE=1 SV=3;>tr|F8VW18|F8VW18_HUMAN Dynactin subunit 2 (Fragment) OS=Homo sapiens GN=DCTN2 PE=1 SV=1;>tr|F8W1I6|F8W1I6_HUMAN Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 PE=1 SV=1;,10,3,3,3,1,3,1,3,0,0,1,3,1,3,0,0,1,3,1,3,0,0,20.9,20.9,20.9,17.107,153,153;278;315;401;403;406;45;128;135;268,0,By matching,By MS/MS,By matching,By MS/MS,By matching,By matching,5.9,20.9,9.2,20.9,0,0,23947000,1901500,2340300,2418400,17287000,0,0,0,3273400,0,6996700,0,0,0,1,0,2,0,0,3,,,,373,3781;4055;7130,True;True;True,4002;4294;7615,13340;13341;13342;14274;14275;25339;25340;25341,9486;10102;18399,9486;10102;18399,,
F8VSC4;G3V1U3;P50579-3;P50579,F8VSC4;G3V1U3;P50579-3;P50579,1;1;1;1,1;1;1;1,1;1;1;1,Methionine aminopeptidase;Methionine aminopeptidase 2,METAP2,>tr|F8VSC4|F8VSC4_HUMAN Methionine aminopeptidase 2 (Fragment) OS=Homo sapiens GN=METAP2 PE=1 SV=1;>tr|G3V1U3|G3V1U3_HUMAN Methionine aminopeptidase 2 OS=Homo sapiens GN=METAP2 PE=1 SV=1;>sp|P50579-3|MAP2_HUMAN Isoform 3 of Methionine aminopeptidase 2 OS=H,4,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,15.5,15.5,15.5,17.068,161,161;328;455;478,0,By matching,By MS/MS,By matching,By MS/MS,By matching,By matching,15.5,15.5,15.5,15.5,0,15.5,7920600,1202600,1125300,2200800,2103400,0,1288400,0,0,0,0,0,2105500,0,0,0,1,0,0,1,,,,374,5464,TRUE,5875,19477;19478;19479;19480;19481,14031;14032,14031,,
F8VZ29;F8VSD4;P61088;F8VV71;Q5JXB2,F8VZ29;F8VSD4;P61088;F8VV71;Q5JXB2,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1,Ubiquitin-conjugating enzyme E2 N;Putative ubiquitin-conjugating enzyme E2 N-like,UBE2N;UBE2NL,>tr|F8VZ29|F8VZ29_HUMAN Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens GN=UBE2N PE=1 SV=1;>tr|F8VSD4|F8VSD4_HUMAN Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens GN=UBE2N PE=1 SV=1;>sp|P61088|UBE2N_HUMAN Ubiquitin-conjugating enzyme E2 N OS=Homo sapie,5,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,21.8,21.8,21.8,9.7441,87,87;105;152;152;153,0,By MS/MS,By MS/MS,By matching,By MS/MS,By matching,By matching,21.8,21.8,0,21.8,0,0,7563400,3125800,2090700,0,2346900,0,0,0,0,0,1076600,0,0,1,1,0,1,0,0,3,,,,375,3736,TRUE,3957,13212;13213;13214,9392;9393;9394,9392,,
